full_text,processed_text_sastrawi,label
nama erick thohir digadanggadang cawapres prabowo namanya diusulkan pan prabowo subianto,nama erick thohir digadanggadang cawapres prabowo nama usul pan prabowo subianto,netral
fahri pandangannya pemilihan anak jokowi gibran rakabuming cawapres pendamping prabowo pilpres prabowo subianto,fahri pandang pilih anak jokowi gibran rakabuming cawapres damping prabowo pilpres prabowo subianto,positif
pertemuan wapres cawapres langkah positif menjaga stabilitas politik negara,temu wapres cawapres langkah positif jaga stabilitas politik negara,negatif
busuk ni gagal cawapres prabowo,busuk ni gagal cawapres prabowo,netral
saiful cawapres mendongkrak elektabilitas capres tambahan suara diharapkan prabowo gibran,saiful cawapres dongkrak elektabilitas capres tambah suara harap prabowo gibran,positif
pasal menjerat pelaku pengancaman pembunuhan haruskah wali kota cawapres mundur jabatannya dibahas klinik hukumonline,pasal jerat laku ancam bunuh harus wali kota cawapres mundur jabat bahas klinik hukumonline,negatif
jokowi bangun dinasti neo orba ngotot jadikan gibran cawapres prabowo aniesmuhaimin november rain yaman hamas ivan gunawan,jokowi bangun dinasti neo orba ngotot jadi gibran cawapres prabowo aniesmuhaimin november rain yaman hamas ivan gunawan,positif
pembegalan konstitusi culas gibran cawapres prabowo hamas alexis aniesmuhaimin yaman ivan gunawan,begal konstitusi culas gibran cawapres prabowo hamas alexis aniesmuhaimin yaman ivan gunawan,positif
kalinya sejarah hakim mahkamah konstitusi mk dilaporkan melanggar kode etik laporan hakim mk terkait putusan mk batas usia capres cawapres selengkapnya baca link,kali sejarah hakim mahkamah konstitusi mk lapor langgar kode etik lapor hakim mk kait putus mk batas usia capres cawapres lengkap baca link,positif
pintu gerbang kaum pemuda mahasiswa tampil ranah politik tingkat capres cawapres disyahkan mk dipermasalahkan haruskah pintu kesempatan kemenangan pemuda mahasiswa ditutup majunya,pintu gerbang kaum pemuda mahasiswa tampil ranah politik tingkat capres cawapres syah mk masalah harus pintu sempat menang pemuda mahasiswa tutup maju,negatif
kim sepakat memilih gibran cawapres prabowo prabowo subianto,kim sepakat pilih gibran cawapres prabowo prabowo subianto,positif
erick didorong partai amanat nasional pan cawapres prabowo prabowo subianto,erick dorong partai amanat nasional pan cawapres prabowo prabowo subianto,positif
wali kota solo gibran rakabuming raka erick thohir calon kandidat kuat cawapres prabowo prabowo subianto,wali kota solo gibran rakabuming raka erick thohir calon kandidat kuat cawapres prabowo prabowo subianto,positif
cawapres prabowo erick thohir tibatiba bilang prabowo subianto,cawapres prabowo erick thohir tibatiba bilang prabowo subianto,positif
keluarga ya keluarga bangsa ya bangsa emang gitu yg maju nyalon cawapres memanfaatkan putusan mk kemarin ponakannya,keluarga ya keluarga bangsa ya bangsa emang gitu yg maju nyalon cawapres manfaat putus mk kemarin ponakan,positif
putusan mk terkait usia caprescawapres mengentikan mimpi pemuda penyelewengan kewenangan dgn menabrak konstitusi akar permasalahannya salah pilih pemimpin,putus mk kait usia caprescawapres mengentikan mimpi pemuda seleweng wenang dgn tabrak konstitusi akar masalah salah pilih pimpin,positif
keputusan cawapres prabowo dipaksakan musyawarah mufakat,putus cawapres prabowo paksa musyawarah mufakat,netral
kah mk yg melanggar uu penentuan usia caprescawapres ranahnya dprpemerintah memutuskan dgn frase tambahan pernahsedang menjabat kepala daerah mkmk satunya yg mengadili etik hakim situlah letaknya terobosan utk menjaga marwah,kah mk yg langgar uu tentu usia caprescawapres ranah dprpemerintah putus dgn frase tambah pernahsedang jabat kepala daerah mkmk satu yg adil etik hakim situ letak terobos utk jaga marwah,positif
masmas katering cawapres,masmas katering cawapres,positif
gibran cawapres ps via putusan mk yg kontroversial omongan lurah jgn diartikan lurus hrs diartikan rambut putih pidato rakernas pdip jgn percaya netral anak ayah,gibran cawapres ps via putus mk yg kontroversial omong lurah jgn arti lurus hrs arti rambut putih pidato rakernas pdip jgn percaya netral anak ayah,positif
cawapres kim wewenang mutlak capres ahy demokrat usulkan khofifah cawapres prabowo zmu agusyudhoyono pdemokrat demokrat bareng rakyat,cawapres kim wewenang mutlak capres ahy demokrat usul khofifah cawapres prabowo zmu agusyudhoyono pdemokrat demokrat bareng rakyat,positif
mengenal pasangan capres cawapres indonesia pilpres,kenal pasang capres cawapres indonesia pilpres,positif
hasil survei saiful mujani research center smrc terbaru elektabilitas prabowo subiantogibran rakabuming raka mengungguli pasangan caprescawapres prabowo gibran,hasil survei saiful mujani research center smrc baru elektabilitas prabowo subiantogibran rakabuming raka unggul pasang caprescawapres prabowo gibran,netral
gak sewot cuman share capres cawapres versi kartun biar gak spaneg gak pake emosi postingan mahmud kayak aktor india ya gibran kayak oppaoppa korea kekinian banget,gak sewot cuman share capres cawapres versi kartun biar gak spaneg gak pake emosi postingan mahmud kayak aktor india ya gibran kayak oppaoppa korea kini banget,positif
pasangan capres cawapres koalisi indonesia maju kim prabowo subiantogibran rakabuming raka mengusung delapan program digarap cepat terpilih pilpres prabowo gibran,pasang capres cawapres koalisi indonesia maju kim prabowo subiantogibran rakabuming raka usung delapan program garap cepat pilih pilpres prabowo gibran,positif
pasangan prabowogibran mendaftar kpu pasangan caprescawapres pilpres rabu kemarin prabowo gibran,pasang prabowogibran daftar kpu pasang caprescawapres pilpres rabu kemarin prabowo gibran,positif
lucu keputusan mk menghambat caprescawapres bertarung pilpres adil kenyataannya caprescawapres yg gagal bertarung pilpres sepasang caprescawapres yg takut kalah,lucu putus mk hambat caprescawapres tarung pilpres adil nyata caprescawapres yg gagal tarung pilpres pasang caprescawapres yg takut kalah,positif
bujuk kecewa cawapres,bujuk kecewa cawapres,positif
kirakira ajalah ya gibran yg menghalalkan cawapres paman mk rekayasa hukum diskriminatif plus nepotisme tingkat direstui tuhankah jd pemimpin indonesia,kirakira aja ya gibran yg halal cawapres paman mk rekayasa hukum diskriminatif plus nepotisme tingkat restu tuhan jd pimpin indonesia,positif
dibuktikan prabowo resmi menggandeng wali kota solo gibran rakabuming calon wakil presiden cawapres prabowo subianto,bukti prabowo resmi gandeng wali kota solo gibran rakabuming calon wakil presiden cawapres prabowo subianto,positif
ketua dpp pdip bidang kehormatan partai komarudin watubun mengaku mewantiwanti gibran rakabuming bermain playing victim dipecat cawapres prabowo subianto pilpres,ketua dpp pdip bidang hormat partai komarudin watubun aku mewantiwanti gibran rakabuming main playing victim pecat cawapres prabowo subianto pilpres,positif
capres cawapres negeri paman usman hebat,capres cawapres negeri paman usman hebat,positif
prabowo gibran sosok capres cawapres berani mengayomi rakyat indonesia prabowo subianto,prabowo gibran sosok capres cawapres berani ayom rakyat indonesia prabowo subianto,positif
prabowo gibran diyakini pasangan capres cawapres ideal memimpin indonesia prabowo subianto,prabowo gibran yakin pasang capres cawapres ideal pimpin indonesia prabowo subianto,positif
respect masyarakat bpk terkikis semenjak membiarkan mas gibran cawapres dngn yg etis,respect masyarakat bpk kikis semenjak biar mas gibran cawapres dngn yg etis,positif
ributnya gibran nolak jd cawapres ganjar langsung serang mk yg ikuti telunjuk hasto ketum bayangan pdip yg ketum drpd ketum aslinya,ribut gibran nolak jd cawapres ganjar langsung serang mk yg ikut telunjuk hasto tum bayang pdip yg tum drpd tum asli,positif
cawapres ngatur capres,cawapres ngatur capres,positif
alasan publik gibran cawapres,alas publik gibran cawapres,positif
kalah cawapres nya,kalah cawapres nya,positif
ajak makan caprescawapres modus jokowi mamerin n promo doang nih anak gue nyalon cawapres gak ketipu kampanye hitam paduka lu pikir netral gitu goblok amet,ajak makan caprescawapres modus jokowi mamerin n promo doang nih anak gue nyalon cawapres gak tipu kampanye hitam paduka lu pikir netral gitu goblok amet,positif
inflasi ngaruh istri cawapres tasnya aja juta buoss fak you poor people si anak muda privilase,inflasi ngaruh istri cawapres tas aja juta buoss fak you poor people si anak muda privilase,positif
hasil polling sekedar hasil mencerminkan pilihan cawapres gapapa ya rezeki mah nggak tau rezeki nya semangat semangat,hasil polling dar hasil cermin pilih cawapres gapapa ya rezeki mah nggak tau rezeki nya semangat semangat,negatif
semoga mkmk gembos ya bang tau kuga hakim mkmk diundang kartanegara prof cawapres mahfud md percaya kinerja mkmk,moga mkmk gembos ya bang tau kuga hakim mkmk undang kartanegara prof cawapres mahfud md percaya kerja mkmk,positif
simak sederet program kampanye caprescawapres isu perpajakan infografis ddtcnews,simak deret program kampanye caprescawapres isu paja infografis ddtcnews,netral
cuti capres cawapres berstatus menteri kegiatan terkait pemilu idham dikutip rabu oktober prabowo subianto,cuti capres cawapres status menteri giat kait milu idham kutip rabu oktober prabowo subianto,negatif
prabowo amp mahfud mundur caprescawapres menteri yg jg ketum parpol jg mundur terlibat langsung menhan dirangkap panglima tni,prabowo amp mahfud mundur caprescawapres menteri yg jg tum parpol jg mundur libat langsung menhan rangkap panglima tni,positif
pasangan caprescawapres pilihan,pasang caprescawapres pilih,netral
pasangan capres cawapres yg ideal indonesiabyk publik yg mendukung paslon dgn bocil hehesemoga msh peluang et prabowo maju dlm pilpres,pasang capres cawapres yg ideal indonesiabyk publik yg dukung paslon dgn bocil hehesemoga msh peluang et prabowo maju dlm pilpres,positif
menjabat gak minat cawapres anak presiden paman mk yg mengadili kalo sengketa dimenangkan asik anak muda mandiri karbitan,jabat gak minat cawapres anak presiden paman mk yg adil kalo sengketa menang asik anak muda mandiri karbitan,positif
keputusan diambil mahkamah konstitusi mengabulkan gugatan kepala daerah maju capres cawapres berusia prabowo subianto,putus ambil mahkamah konstitusi kabul gugat kepala daerah maju capres cawapres usia prabowo subianto,positif
prabowo menggandeng wali kota solo putra sulung presiden joko widodo jokowi gibran rakabuming raka cawapres prabowo subianto,prabowo gandeng wali kota solo putra sulung presiden joko widodo jokowi gibran rakabuming raka cawapres prabowo subianto,positif
cawapres koalisi indonesia maju kim gibran rakabuming raka langsung tancap gas mendaftar kpu prabowo subianto,cawapres koalisi indonesia maju kim gibran rakabuming raka langsung tancap gas daftar kpu prabowo subianto,positif
gibran rakabuming raka cawapres melaju pilpres prabowo subianto,gibran rakabuming raka cawapres laju pilpres prabowo subianto,positif
capres cawapres pintar ganjar,capres cawapres pintar ganjar,netral
oooini maksudnya jokowi gak terlibatbahwa mas gibran ujug cawapres ancang sedikitpun memberitahu jokowibahwa ketua mk yg ipar nya ujug memutuskan spt jokowi gak tau,oooini maksud jokowi gak terlibatbahwa mas gibran ujug cawapres ancang sedikit memberitahu jokowibahwa ketua mk yg ipar nya ujug putus spt jokowi gak tau,positif
ya gantiin gibran cawapres indonesia dingin yg cawapresnya,ya gantiin gibran cawapres indonesia dingin yg cawapresnya,positif
gitu jadikan capres cawapresberani telek telek,gitu jadi capres cawapresberani telek telek,netral
spekulasi pdip takut kehilangan suara memecat mas gibran cawapres,spekulasi pdip takut hilang suara pecat mas gibran cawapres,positif
mantap panas cawapres yg diloloskan harapannya ga diperhatikan publik hehe,mantap panas cawapres yg lolos harap ga perhati publik hehe,positif
mestinya putusan mk syarat usia caprescawapres berlaku pemilu,mesti putus mk syarat usia caprescawapres laku milu,positif
gimmick belaka anggota partai cawapres partai dipecat aneh kecuali drama bermain kaki tangan,gimmick belaka anggota partai cawapres partai pecat aneh kecuali drama main kaki tangan,positif
ganjarmahfud pasangan capres da cawapres terbaik membawa indonesia emas waspada propaganda dipostingan,ganjarmahfud pasang capres da cawapres baik bawa indonesia emas waspada propaganda dipostingan,positif
ketua kpu wajib patuhi putusan mk usia caprescawapres,ketua kpu wajib patuh putus mk usia caprescawapres,positif
ketua kpu seemua wajib patuhi putusan mk usia caprescawapres,ketua kpu seemua wajib patuh putus mk usia caprescawapres,positif
ketua kpu smw wajib patuhi putusan mk usia caprescawapres,ketua kpu smw wajib patuh putus mk usia caprescawapres,positif
ketua kpu smua wajib patuhi putusan mk usia caprescawapres,ketua kpu smua wajib patuh putus mk usia caprescawapres,positif
keren kali capre cawapres klo judulnya,keren kali capre cawapres klo judul,positif
bersyukur diberinya anakanak mandiri ketua partai wali kota cawapres lengkap,syukur beri anakanak mandiri ketua partai wali kota cawapres lengkap,negatif
capres cawapres seasik sekeren prabowo gibran is the best ganjar presiden ganjar,capres cawapres seasik keren prabowo gibran is the best ganjar presiden ganjar,positif
kampanyekan anak yg cawapres selamat bumn setau kl salah istrisuami bersaudara t yg salah satunya mundur jaga netralitas kemenakan ay bri mundur org,kampanye anak yg cawapres selamat bumn tau kl salah istrisuami saudara t yg salah satu mundur jaga netralitas kemenakan ay bri mundur org,positif
njirrrr negur pendukungnya keren ga salah memilih mendukung ketiga pasangan capres cawapres pemilu berkompetisi sehat pilih biarlah rahasia h huehehee teruskan teladannya,njirrrr negur dukung keren ga salah pilih dukung tiga pasang capres cawapres milu kompetisi sehat pilih biar rahasia h huehehee terus teladan,positif
semoga caprescawapres yg menjanjikan,moga caprescawapres yg janji,negatif
budiman mendeklarasikan dukungannya prabowo langsung dipecat beda perlakuannya mas gibran yg jelasjelas cawapres prabowo tp gakunjung dipecat ape nih pdip ivan gunawan hamas yaman alexis rabu,budiman deklarasi dukung prabowo langsung pecat beda laku mas gibran yg jelasjelas cawapres prabowo tp gakunjung pecat ape nih pdip ivan gunawan hamas yaman alexis rabu,positif
yg mulia paman gibran memenuhi undangan sampean nyawer dah rb beliin kopi diatp beliau gak dtg palingan ntar jwb pake surat yg isinya siape losaya ipar jokowi pamannya cawapres wowo,yg mulia paman gibran penuh undang sampean nyawer dah rb beliin kopi diatp beliau gak dtg paling ntar jwb pake surat yg isi siape losaya ipar jokowi paman cawapres wowo,positif
berpengalaman walikota itupun selesai dimint cawaprespkpu ambil pusing gimana aslinya hukum negeri orang pusat bebas aja gitu,alam walikota itu selesai dimint cawaprespkpu ambil pusing gimana asli hukum negeri orang pusat bebas aja gitu,positif
pdip bermain kaki perbedaan ya hmmmmm tau mas gibran mencalonkan cawapres dipecat diam mas gibran mencalonkan,pdip main kaki beda ya hmmmmm tau mas gibran calon cawapres pecat diam mas gibran calon,positif
pertemuan wapres maruf cawapres diundur pekan via,temu wapres maruf cawapres undur pekan via,netral
harapan mkmk putuskan offside ketua mk anwar usman berhentikan diganti mas wali gibran lanjutkan walikota gak cawapres prabowo kontestasi et sapalah terserah,harap mkmk putus offside ketua mk anwar usman henti ganti mas wali gibran lanjut walikota gak cawapres prabowo kontestasi et sapa serah,positif
pasangan capres cawapres ganjar pranowomahfud md bertekad mempercepat penguasaan sains teknologi percepatan riset inovasi berdikari,pasang capres cawapres ganjar pranowomahfud md tekad cepat kuasa sains teknologi cepat riset inovasi berdikari,negatif
gibran wajib dicoret masuknya cawapres keputusan mk yg ketuanya koplak akibat minum susu expired,gibran wajib coret masuk cawapres putus mk yg ketua koplak akibat minum susu expired,positif
memfitnah spt tuduhan ijazah palsu tuduhan pki tuduhan jual negara aseng lha mengkritik yg kangkangi konstitusi putusan iparnya mk tuk anak sulungnya cawapres fitnah waras,fitnah spt tuduh ijazah palsu tuduh pki tuduh jual negara aseng lha kritik yg kangkang konstitusi putus ipar mk tuk anak sulung cawapres fitnah waras,negatif
lembaga negara kejinya mewujudkan langkah sang anak jd cawapres ivan gunawan yaman alexis houthi yahudi bi fast rabu panjangin,lembaga negara keji wujud langkah sang anak jd cawapres ivan gunawan yaman alexis houthi yahudi bi fast rabu panjangin,positif
gak suka jkw amp gibran gak dipilih gampang gibran cm cawapres pembantu presiden fokus pilihan utamanya presiden feeling next president prabowo,gak suka jkw amp gibran gak pilih gampang gibran cm cawapres bantu presiden fokus pilih utama presiden feeling next president prabowo,positif
masyarakat jawa menyambut kedatanagan gibran rakabuming safari politik jateng dukungan harapan dituangkan masyarakat cawapres muda tsb,masyarakat jawa sambut kedatanagan gibran rakabuming safari politik jateng dukung harap tuang masyarakat cawapres muda tsb,positif
survei gibran dinasti politik cawapres ivan gunawan bi fast yaman alexis houthi netral rabu november rain panjangin,survei gibran dinasti politik cawapres ivan gunawan bi fast yaman alexis houthi netral rabu november rain panjangin,positif
cawapres pilih om garis tangan campur tangan buah tangan,cawapres pilih om garis tangan campur tangan buah tangan,netral
jokowi enggan komentari kekecewaan pdip gibran cawapres prabowo,jokowi enggan komentar kecewa pdip gibran cawapres prabowo,positif
viral video wakil menteri desa pembangunan daerah tertinggal transmigrasi wamendes pdtt paiman raharjo memimpin rapat pemenangan caprescawapres prabowo subianto gibran rakabuming raka pilpres,viral video wakil menteri desa bangun daerah tinggal transmigrasi wamendes pdtt paiman raharjo pimpin rapat menang caprescawapres prabowo subianto gibran rakabuming raka pilpres,negatif
erick thohir calon kandidat kuat cawapres prabowo prabowo subianto,erick thohir calon kandidat kuat cawapres prabowo prabowo subianto,positif
anwar usman diadili mkmk diduga melobi hakim konstitusi kabulkan perkara batas usia caprescawapres,anwar usman adil mkmk duga lobi hakim konstitusi kabul perkara batas usia caprescawapres,negatif
batal cawapres erick thohir dukung prabowo prabowo subianto,batal cawapres erick thohir dukung prabowo prabowo subianto,positif
batal cawapres erick thohiir dukung prabowo prabowo subianto,batal cawapres erick thohiir dukung prabowo prabowo subianto,positif
tepatnya anak presiden anak muda yg hebat tp jd cawapres gibran anak presiden yg blm umur kebayang ga kalo mk memutuskan balita jd walkot cucunya jokowi yg balita nyusu emaknya,tepat anak presiden anak muda yg hebat tp jd cawapres gibran anak presiden yg blm umur bayang ga kalo mk putus balita jd walkot cucu jokowi yg balita nyusu emaknya,positif
gebrakan membangun bangsa indonesia maju terwujud prabowogibran capres cawapres ideal menciptakan nuansa dimasa sukses,gebrak bangun bangsa indonesia maju wujud prabowogibran capres cawapres ideal cipta nuansa masa sukses,positif
prof mahfud blg klo kejadian putusan menggugurkan putusannya jd cawapres bocil aman krn putusan hukum mengikat yg mulia au yg kena sanksi etik sampe pencopotan ponakan,prof mahfud blg klo jadi putus gugur putus jd cawapres bocil aman krn putus hukum ikat yg mulia au yg kena sanksi etik sampe copot ponakan,positif
